token,order,order_within_block,order_n,integ_d,none_d,cond,task,final_value,true_value,abs_diff,abs_diff_ratio,slide_count
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,1,1,0,1,none,task7,3.9,2.8,1.1,0.392857143,1
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,2,2,0,1,none,task6,256,215,41,0.190697674,1
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,3,3,0,1,none,task9,3.8,3.2,0.6,0.1875,1
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,4,4,0,1,none,task12,3,3.3,0.3,0.090909091,1
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,5,5,0,1,none,task2,177,227.429,50.429,0.221735135,1
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,6,6,0,1,none,task11,3,3.8,0.8,0.210526316,1
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,7,7,0,1,none,task1,42,60.121,18.121,0.301408826,1
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,8,8,0,1,none,task5,1200,580,620,1.068965517,1
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,1,9,1,0,integ,task7,2.9,2.8,0.1,0.035714286,8
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,2,10,1,0,integ,task9,4.7,3.2,1.5,0.46875,2
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,3,11,1,0,integ,task11,4.8,3.8,1,0.263157895,2
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,4,12,1,0,integ,task2,172,227.429,55.429,0.243720018,4
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,5,13,1,0,integ,task12,5,3.3,1.7,0.515151515,2
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,6,14,1,0,integ,task1,59,60.121,1.121,0.018645731,2
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,7,15,1,0,integ,task6,45,215,170,0.790697674,3
cekbthmwqe4ob7p83mlhaorqx5jyt4jwsqkubxazxeqm2t9,none_first,8,16,1,0,integ,task5,100,580,480,0.827586207,3
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,1,1,0,1,none,task9,5.6,3.2,2.4,0.75,2
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,2,2,0,1,none,task5,214,580,366,0.631034483,1
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,3,3,0,1,none,task7,4.6,2.8,1.8,0.642857143,1
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,4,4,0,1,none,task6,164,215,51,0.237209302,1
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,5,5,0,1,none,task2,190,227.429,37.429,0.164574439,1
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,6,6,0,1,none,task11,4.3,3.8,0.5,0.131578947,1
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,7,7,0,1,none,task12,4.3,3.3,1,0.303030303,1
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,8,8,0,1,none,task1,59,60.121,1.121,0.018645731,1
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,1,9,1,0,integ,task7,4.1,2.8,1.3,0.464285714,2
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,2,10,1,0,integ,task2,235,227.429,7.571,0.03328951,2
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,3,11,1,0,integ,task11,4.3,3.8,0.5,0.131578947,2
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,4,12,1,0,integ,task6,233,215,18,0.08372093,3
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,5,13,1,0,integ,task5,398,580,182,0.313793103,2
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,6,14,1,0,integ,task12,3.8,3.3,0.5,0.151515152,2
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,7,15,1,0,integ,task1,58,60.121,2.121,0.035278854,3
sml1hvea62kbrzbxlf5g0hpviahbpdarkglt6ben00mqiu23xr,none_first,8,16,1,0,integ,task9,5,3.2,1.8,0.5625,4
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,1,1,0,1,none,task11,5,3.8,1.2,0.315789474,1
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,2,2,0,1,none,task1,25,60.121,35.121,0.58417192,1
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,3,3,0,1,none,task5,800,580,220,0.379310345,1
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,4,4,0,1,none,task6,450,215,235,1.093023256,2
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,5,5,0,1,none,task7,3.5,2.8,0.7,0.25,1
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,6,6,0,1,none,task9,3.5,3.2,0.3,0.09375,1
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,7,7,0,1,none,task2,150,227.429,77.429,0.340453504,1
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,8,8,0,1,none,task12,3,3.3,0.3,0.090909091,2
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,1,9,1,0,integ,task7,3.6,2.8,0.8,0.285714286,2
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,2,10,1,0,integ,task5,505,580,75,0.129310345,4
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,3,11,1,0,integ,task11,3.7,3.8,0.1,0.026315789,3
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,4,12,1,0,integ,task12,2.9,3.3,0.4,0.121212121,2
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,5,13,1,0,integ,task9,4.4,3.2,1.2,0.375,2
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,6,14,1,0,integ,task6,212,215,3,0.013953488,2
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,7,15,1,0,integ,task2,298,227.429,70.571,0.310299038,2
c292f05xdmheiwwa2n8hlx47via31cujp3v3atzjdkuo62sm7vi,none_first,8,16,1,0,integ,task1,56,60.121,4.121,0.068545101,2
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,1,1,0,1,none,task11,5,3.8,1.2,0.315789474,1
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,2,2,0,1,none,task5,1200,580,620,1.068965517,1
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,3,3,0,1,none,task6,486,215,271,1.260465116,3
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,4,4,0,1,none,task7,5,2.8,2.2,0.785714286,1
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,5,5,0,1,none,task2,26,227.429,201.429,0.885678607,2
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,6,6,0,1,none,task12,4.3,3.3,1,0.303030303,2
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,7,7,0,1,none,task1,45,60.121,15.121,0.251509456,1
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,8,8,0,1,none,task9,8.2,3.2,5,1.5625,1
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,1,9,1,0,integ,task1,79,60.121,18.879,0.314016733,2
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,2,10,1,0,integ,task6,163,215,52,0.241860465,2
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,3,11,1,0,integ,task7,4.9,2.8,2.1,0.75,2
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,4,12,1,0,integ,task9,4.5,3.2,1.3,0.40625,2
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,5,13,1,0,integ,task11,5.9,3.8,2.1,0.552631579,2
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,6,14,1,0,integ,task12,4.8,3.3,1.5,0.454545455,7
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,7,15,1,0,integ,task2,99,227.429,128.429,0.564699313,7
mr79ytx9g7epawxzxeneqxgvik63mmiuzf2dkr9f1ke0tqpvi,none_first,8,16,1,0,integ,task5,427,580,153,0.263793103,2
4wt7t5opxju9oeao35jkvt,none_first,1,1,0,1,none,task1,70,60.121,9.879,0.164318624,0
4wt7t5opxju9oeao35jkvt,none_first,2,2,0,1,none,task12,2.9,3.3,0.4,0.121212121,1
4wt7t5opxju9oeao35jkvt,none_first,3,3,0,1,none,task7,2.8,2.8,0,0,1
4wt7t5opxju9oeao35jkvt,none_first,4,4,0,1,none,task2,14,227.429,213.429,0.938442327,1
4wt7t5opxju9oeao35jkvt,none_first,5,5,0,1,none,task5,450,580,130,0.224137931,2
4wt7t5opxju9oeao35jkvt,none_first,6,6,0,1,none,task11,4.5,3.8,0.7,0.184210526,1
4wt7t5opxju9oeao35jkvt,none_first,7,7,0,1,none,task9,3,3.2,0.2,0.0625,1
4wt7t5opxju9oeao35jkvt,none_first,8,8,0,1,none,task6,85,215,130,0.604651163,1
4wt7t5opxju9oeao35jkvt,none_first,1,9,1,0,integ,task1,90,60.121,29.879,0.496981088,7
4wt7t5opxju9oeao35jkvt,none_first,2,10,1,0,integ,task12,3.7,3.3,0.4,0.121212121,5
4wt7t5opxju9oeao35jkvt,none_first,3,11,1,0,integ,task11,4,3.8,0.2,0.052631579,4
4wt7t5opxju9oeao35jkvt,none_first,4,12,1,0,integ,task9,2.4,3.2,0.8,0.25,5
4wt7t5opxju9oeao35jkvt,none_first,5,13,1,0,integ,task7,2.5,2.8,0.3,0.107142857,5
4wt7t5opxju9oeao35jkvt,none_first,6,14,1,0,integ,task5,557,580,23,0.039655172,6
4wt7t5opxju9oeao35jkvt,none_first,7,15,1,0,integ,task6,192,215,23,0.106976744,3
4wt7t5opxju9oeao35jkvt,none_first,8,16,1,0,integ,task2,76,227.429,151.429,0.665829775,5
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,1,1,0,1,none,task12,3,3.3,0.3,0.090909091,1
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,2,2,0,1,none,task6,256,215,41,0.190697674,2
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,3,3,0,1,none,task7,3.5,2.8,0.7,0.25,1
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,4,4,0,1,none,task11,4.5,3.8,0.7,0.184210526,1
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,5,5,0,1,none,task9,4,3.2,0.8,0.25,1
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,6,6,0,1,none,task5,803,580,223,0.384482759,1
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,7,7,0,1,none,task1,60,60.121,0.121,0.002012608,1
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,8,8,0,1,none,task2,152,227.429,75.429,0.331659551,1
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,1,9,1,0,integ,task12,3.5,3.3,0.2,0.060606061,2
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,2,10,1,0,integ,task1,90,60.121,29.879,0.496981088,3
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,3,11,1,0,integ,task11,4.2,3.8,0.4,0.105263158,2
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,4,12,1,0,integ,task2,100,227.429,127.429,0.560302336,2
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,5,13,1,0,integ,task5,825,580,245,0.422413793,2
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,6,14,1,0,integ,task7,3,2.8,0.2,0.071428571,2
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,7,15,1,0,integ,task6,252,215,37,0.172093023,2
gjp4x24fuqqc9m6a9h4vg3nmizgx1msnq6k0nu6zyjp2qvkj4i,none_first,8,16,1,0,integ,task9,4.6,3.2,1.4,0.4375,2
8xvi82le1ctbj71imr36hw,none_first,1,1,0,1,none,task5,401,580,179,0.30862069,1
8xvi82le1ctbj71imr36hw,none_first,2,2,0,1,none,task7,4,2.8,1.2,0.428571429,1
8xvi82le1ctbj71imr36hw,none_first,3,3,0,1,none,task1,90,60.121,29.879,0.496981088,1
8xvi82le1ctbj71imr36hw,none_first,4,4,0,1,none,task9,5,3.2,1.8,0.5625,1
8xvi82le1ctbj71imr36hw,none_first,5,5,0,1,none,task6,160,215,55,0.255813953,1
8xvi82le1ctbj71imr36hw,none_first,6,6,0,1,none,task12,3.5,3.3,0.2,0.060606061,1
8xvi82le1ctbj71imr36hw,none_first,7,7,0,1,none,task11,5,3.8,1.2,0.315789474,1
8xvi82le1ctbj71imr36hw,none_first,8,8,0,1,none,task2,280,227.429,52.571,0.231153459,1
8xvi82le1ctbj71imr36hw,none_first,1,9,1,0,integ,task7,3.5,2.8,0.7,0.25,2
8xvi82le1ctbj71imr36hw,none_first,2,10,1,0,integ,task12,3.5,3.3,0.2,0.060606061,2
8xvi82le1ctbj71imr36hw,none_first,3,11,1,0,integ,task6,212,215,3,0.013953488,2
8xvi82le1ctbj71imr36hw,none_first,4,12,1,0,integ,task11,5,3.8,1.2,0.315789474,2
8xvi82le1ctbj71imr36hw,none_first,5,13,1,0,integ,task2,80,227.429,147.429,0.648241869,3
8xvi82le1ctbj71imr36hw,none_first,6,14,1,0,integ,task9,5,3.2,1.8,0.5625,2
8xvi82le1ctbj71imr36hw,none_first,7,15,1,0,integ,task1,85,60.121,24.879,0.413815472,2
8xvi82le1ctbj71imr36hw,none_first,8,16,1,0,integ,task5,450,580,130,0.224137931,2
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,1,1,0,1,none,task9,5,3.2,1.8,0.5625,1
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,2,2,0,1,none,task7,4.5,2.8,1.7,0.607142857,1
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,3,3,0,1,none,task11,4.5,3.8,0.7,0.184210526,1
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,4,4,0,1,none,task2,70,227.429,157.429,0.692211635,1
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,5,5,0,1,none,task6,220,215,5,0.023255814,1
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,6,6,0,1,none,task5,349,580,231,0.398275862,1
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,7,7,0,1,none,task12,4,3.3,0.7,0.212121212,1
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,8,8,0,1,none,task1,25,60.121,35.121,0.58417192,2
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,1,9,1,0,integ,task12,3.4,3.3,0.1,0.03030303,2
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,2,10,1,0,integ,task5,307,580,273,0.470689655,2
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,3,11,1,0,integ,task11,3.9,3.8,0.1,0.026315789,2
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,4,12,1,0,integ,task7,4.1,2.8,1.3,0.464285714,2
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,5,13,1,0,integ,task6,209,215,6,0.027906977,2
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,6,14,1,0,integ,task1,36,60.121,24.121,0.401207565,2
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,7,15,1,0,integ,task2,95,227.429,132.429,0.582287219,2
7gc1i3ybs25r1a20y310s5rk9coridb6eh0xluoyql0ew2ke29,none_first,8,16,1,0,integ,task9,5,3.2,1.8,0.5625,3
iogehuns1yxfgtsm0jswf,none_first,1,1,0,1,none,task7,3.2,2.8,0.4,0.142857143,2
iogehuns1yxfgtsm0jswf,none_first,2,2,0,1,none,task2,213,227.429,14.429,0.063443976,1
iogehuns1yxfgtsm0jswf,none_first,3,3,0,1,none,task12,3.7,3.3,0.4,0.121212121,1
iogehuns1yxfgtsm0jswf,none_first,4,4,0,1,none,task1,23,60.121,37.121,0.617438166,1
iogehuns1yxfgtsm0jswf,none_first,5,5,0,1,none,task11,3.7,3.8,0.1,0.026315789,2
iogehuns1yxfgtsm0jswf,none_first,6,6,0,1,none,task5,752,580,172,0.296551724,3
iogehuns1yxfgtsm0jswf,none_first,7,7,0,1,none,task6,425,215,210,0.976744186,1
iogehuns1yxfgtsm0jswf,none_first,8,8,0,1,none,task9,3.3,3.2,0.1,0.03125,1
iogehuns1yxfgtsm0jswf,none_first,1,9,1,0,integ,task6,279,215,64,0.297674419,3
iogehuns1yxfgtsm0jswf,none_first,2,10,1,0,integ,task1,113,60.121,52.879,0.879542922,2
iogehuns1yxfgtsm0jswf,none_first,3,11,1,0,integ,task5,682,580,102,0.175862069,2
iogehuns1yxfgtsm0jswf,none_first,4,12,1,0,integ,task11,3.7,3.8,0.1,0.026315789,3
iogehuns1yxfgtsm0jswf,none_first,5,13,1,0,integ,task7,3.2,2.8,0.4,0.142857143,6
iogehuns1yxfgtsm0jswf,none_first,6,14,1,0,integ,task2,339,227.429,111.571,0.490575081,3
iogehuns1yxfgtsm0jswf,none_first,7,15,1,0,integ,task9,3.2,3.2,0,0,4
iogehuns1yxfgtsm0jswf,none_first,8,16,1,0,integ,task12,3.3,3.3,0,0,7
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,1,1,0,1,none,task9,5,3.2,1.8,0.5625,1
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,2,2,0,1,none,task5,994,580,414,0.713793103,1
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,3,3,0,1,none,task2,202,227.429,25.429,0.111810719,1
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,4,4,0,1,none,task12,4,3.3,0.7,0.212121212,1
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,5,5,0,1,none,task6,397,215,182,0.846511628,1
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,6,6,0,1,none,task1,40,60.121,20.121,0.334675072,1
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,7,7,0,1,none,task11,4.5,3.8,0.7,0.184210526,1
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,8,8,0,1,none,task7,5,2.8,2.2,0.785714286,1
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,1,9,1,0,integ,task2,348,227.429,120.571,0.53014787,2
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,2,10,1,0,integ,task5,476,580,104,0.179310345,2
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,3,11,1,0,integ,task7,4.3,2.8,1.5,0.535714286,3
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,4,12,1,0,integ,task12,4,3.3,0.7,0.212121212,3
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,5,13,1,0,integ,task1,66,60.121,5.879,0.097786131,6
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,6,14,1,0,integ,task11,4,3.8,0.2,0.052631579,4
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,7,15,1,0,integ,task6,402,215,187,0.869767442,2
4ojih2yhxdpbmioljr8cfecdi8vlsfls3ouxueeajz8mj6pqfr,none_first,8,16,1,0,integ,task9,5,3.2,1.8,0.5625,2
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,1,1,0,1,none,task2,250,227.429,22.571,0.09924416,1
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,2,2,0,1,none,task7,4.4,2.8,1.6,0.571428571,1
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,3,3,0,1,none,task11,5.2,3.8,1.4,0.368421053,1
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,4,4,0,1,none,task9,4.6,3.2,1.4,0.4375,2
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,5,5,0,1,none,task12,4,3.3,0.7,0.212121212,2
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,6,6,0,1,none,task6,260,215,45,0.209302326,1
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,7,7,0,1,none,task1,37,60.121,23.121,0.384574442,1
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,8,8,0,1,none,task5,526,580,54,0.093103448,2
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,1,9,1,0,integ,task1,103,60.121,42.879,0.71321169,4
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,2,10,1,0,integ,task12,2.7,3.3,0.6,0.181818182,3
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,3,11,1,0,integ,task11,3.9,3.8,0.1,0.026315789,2
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,4,12,1,0,integ,task2,94,227.429,133.429,0.586684196,2
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,5,13,1,0,integ,task5,561,580,19,0.032758621,2
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,6,14,1,0,integ,task7,3.8,2.8,1,0.357142857,2
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,7,15,1,0,integ,task9,3.6,3.2,0.4,0.125,4
nk8b2l3j3c0b2gatf610jm7vidkhltc2e1va1j28dvwh4cxr,none_first,8,16,1,0,integ,task6,208,215,7,0.03255814,2
4m85oidrgsn0n5cs01ea1hsemirn2h4vtrjwxl2jv2cqbur3sor,none_first,1,1,0,1,none,task7,3,2.8,0.2,0.071428571,1
