token,order,order_within_block,order_n,reunit_d,none_d,cond,task,final_value,true_value,abs_diff,abs_diff_ratio,slide_count
89vqpw4gm4dpkuaau82eghkt9ds5369lqb4dx5to4lt9kn8kt9,none_first,5,13,1,0,reunit,task11,5,3.8,1.2,0.315789474,3
89vqpw4gm4dpkuaau82eghkt9ds5369lqb4dx5to4lt9kn8kt9,none_first,6,14,1,0,reunit,task7,2,2.8,0.8,0.285714286,2
89vqpw4gm4dpkuaau82eghkt9ds5369lqb4dx5to4lt9kn8kt9,none_first,7,15,1,0,reunit,task5,600,580,20,0.034482759,2
89vqpw4gm4dpkuaau82eghkt9ds5369lqb4dx5to4lt9kn8kt9,none_first,8,16,1,0,reunit,task1,60,60.121,0.121,0.002012608,2
8giht7jilcj5f4iyo0738gym,none_first,1,9,1,0,reunit,task12,7.5,3.3,4.2,1.272727273,2
8giht7jilcj5f4iyo0738gym,none_first,2,10,1,0,reunit,task2,50,227.429,177.429,0.780151168,2
8giht7jilcj5f4iyo0738gym,none_first,3,11,1,0,reunit,task6,50,215,165,0.76744186,18
8giht7jilcj5f4iyo0738gym,none_first,4,12,1,0,reunit,task9,2,3.2,1.2,0.375,2
8giht7jilcj5f4iyo0738gym,none_first,5,13,1,0,reunit,task7,2,2.8,0.8,0.285714286,3
8giht7jilcj5f4iyo0738gym,none_first,6,14,1,0,reunit,task1,50,60.121,10.121,0.16834384,4
8giht7jilcj5f4iyo0738gym,none_first,7,15,1,0,reunit,task5,500,580,80,0.137931034,2
8giht7jilcj5f4iyo0738gym,none_first,8,16,1,0,reunit,task11,4,3.8,0.2,0.052631579,2
9j2bzh0jlt100ubqb0tpb,reunit_first,1,1,1,0,reunit,task5,357,580,223,0.384482759,2
9j2bzh0jlt100ubqb0tpb,reunit_first,2,2,1,0,reunit,task2,160,227.429,67.429,0.296483738,3
9j2bzh0jlt100ubqb0tpb,reunit_first,3,3,1,0,reunit,task7,3.5,2.8,0.7,0.25,2
9j2bzh0jlt100ubqb0tpb,reunit_first,4,4,1,0,reunit,task11,4.5,3.8,0.7,0.184210526,2
9j2bzh0jlt100ubqb0tpb,reunit_first,5,5,1,0,reunit,task6,180,215,35,0.162790698,2
9j2bzh0jlt100ubqb0tpb,reunit_first,6,6,1,0,reunit,task12,3.8,3.3,0.5,0.151515152,2
9j2bzh0jlt100ubqb0tpb,reunit_first,7,7,1,0,reunit,task9,3.5,3.2,0.3,0.09375,2
9j2bzh0jlt100ubqb0tpb,reunit_first,8,8,1,0,reunit,task1,60,60.121,0.121,0.002012608,2
9l87n4viocqsh42ede93blnmiiau2gx6etcyvzfee5vew89f6r,reunit_first,1,1,1,0,reunit,task2,87,227.429,140.429,0.617463032,2
9l87n4viocqsh42ede93blnmiiau2gx6etcyvzfee5vew89f6r,reunit_first,2,2,1,0,reunit,task7,4,2.8,1.2,0.428571429,4
9l87n4viocqsh42ede93blnmiiau2gx6etcyvzfee5vew89f6r,reunit_first,3,3,1,0,reunit,task12,4,3.3,0.7,0.212121212,3
9l87n4viocqsh42ede93blnmiiau2gx6etcyvzfee5vew89f6r,reunit_first,4,4,1,0,reunit,task1,55,60.121,5.121,0.085178224,2
9l87n4viocqsh42ede93blnmiiau2gx6etcyvzfee5vew89f6r,reunit_first,5,5,1,0,reunit,task9,3,3.2,0.2,0.0625,3
9l87n4viocqsh42ede93blnmiiau2gx6etcyvzfee5vew89f6r,reunit_first,6,6,1,0,reunit,task11,4,3.8,0.2,0.052631579,3
9l87n4viocqsh42ede93blnmiiau2gx6etcyvzfee5vew89f6r,reunit_first,7,7,1,0,reunit,task5,601,580,21,0.036206897,3
9l87n4viocqsh42ede93blnmiiau2gx6etcyvzfee5vew89f6r,reunit_first,8,8,1,0,reunit,task6,211,215,4,0.018604651,3
9m872aiwox4x5ssh9r2fkcsorcpmmpa3q8bjwuwnmnwftq8semi,none_first,1,9,1,0,reunit,task6,102,215,113,0.525581395,2
9m872aiwox4x5ssh9r2fkcsorcpmmpa3q8bjwuwnmnwftq8semi,none_first,2,10,1,0,reunit,task2,303,227.429,75.571,0.332283922,2
9m872aiwox4x5ssh9r2fkcsorcpmmpa3q8bjwuwnmnwftq8semi,none_first,3,11,1,0,reunit,task7,2,2.8,0.8,0.285714286,2
9m872aiwox4x5ssh9r2fkcsorcpmmpa3q8bjwuwnmnwftq8semi,none_first,4,12,1,0,reunit,task1,77,60.121,16.879,0.280750487,5
9m872aiwox4x5ssh9r2fkcsorcpmmpa3q8bjwuwnmnwftq8semi,none_first,5,13,1,0,reunit,task9,4,3.2,0.8,0.25,2
9m872aiwox4x5ssh9r2fkcsorcpmmpa3q8bjwuwnmnwftq8semi,none_first,6,14,1,0,reunit,task11,3,3.8,0.8,0.210526316,3
9m872aiwox4x5ssh9r2fkcsorcpmmpa3q8bjwuwnmnwftq8semi,none_first,7,15,1,0,reunit,task5,621,580,41,0.070689655,2
9m872aiwox4x5ssh9r2fkcsorcpmmpa3q8bjwuwnmnwftq8semi,none_first,8,16,1,0,reunit,task12,3.1,3.3,0.2,0.060606061,2
ak1rjfof1woaizkgqowyzxgvibz4ywm8g2q8cf6zm7n8v4vaemi,reunit_first,1,1,1,0,reunit,task6,465,215,250,1.162790698,3
ak1rjfof1woaizkgqowyzxgvibz4ywm8g2q8cf6zm7n8v4vaemi,reunit_first,2,2,1,0,reunit,task2,362,227.429,134.571,0.591705543,2
ak1rjfof1woaizkgqowyzxgvibz4ywm8g2q8cf6zm7n8v4vaemi,reunit_first,3,3,1,0,reunit,task5,804,580,224,0.386206897,3
ak1rjfof1woaizkgqowyzxgvibz4ywm8g2q8cf6zm7n8v4vaemi,reunit_first,4,4,1,0,reunit,task11,4.5,3.8,0.7,0.184210526,3
ak1rjfof1woaizkgqowyzxgvibz4ywm8g2q8cf6zm7n8v4vaemi,reunit_first,5,5,1,0,reunit,task7,3,2.8,0.2,0.071428571,3
ak1rjfof1woaizkgqowyzxgvibz4ywm8g2q8cf6zm7n8v4vaemi,reunit_first,6,6,1,0,reunit,task9,3,3.2,0.2,0.0625,2
ak1rjfof1woaizkgqowyzxgvibz4ywm8g2q8cf6zm7n8v4vaemi,reunit_first,7,7,1,0,reunit,task12,3.5,3.3,0.2,0.060606061,2
ak1rjfof1woaizkgqowyzxgvibz4ywm8g2q8cf6zm7n8v4vaemi,reunit_first,8,8,1,0,reunit,task1,62,60.121,1.879,0.031253638,2
av0v8f8ggzqanve2soc09,none_first,1,1,1,0,reunit,task11,8,3.8,4.2,1.105263158,2
av0v8f8ggzqanve2soc09,none_first,2,2,1,0,reunit,task12,6,3.3,2.7,0.818181818,2
av0v8f8ggzqanve2soc09,none_first,3,3,1,0,reunit,task6,350,215,135,0.627906977,2
av0v8f8ggzqanve2soc09,none_first,4,4,1,0,reunit,task9,2,3.2,1.2,0.375,2
av0v8f8ggzqanve2soc09,none_first,5,5,1,0,reunit,task5,400,580,180,0.310344828,4
av0v8f8ggzqanve2soc09,none_first,6,6,1,0,reunit,task7,2,2.8,0.8,0.285714286,2
av0v8f8ggzqanve2soc09,none_first,7,7,1,0,reunit,task1,50,60.121,10.121,0.16834384,3
av0v8f8ggzqanve2soc09,none_first,8,8,1,0,reunit,task2,250,227.429,22.571,0.09924416,3
axwue604gfby4snj0tbeuq5mi4rn0zz4jyb88t19r0z3tprpb9,reunit_first,1,1,1,0,reunit,task6,106,215,109,0.506976744,3
axwue604gfby4snj0tbeuq5mi4rn0zz4jyb88t19r0z3tprpb9,reunit_first,2,2,1,0,reunit,task9,4.8,3.2,1.6,0.5,3
axwue604gfby4snj0tbeuq5mi4rn0zz4jyb88t19r0z3tprpb9,reunit_first,3,3,1,0,reunit,task5,368,580,212,0.365517241,2
axwue604gfby4snj0tbeuq5mi4rn0zz4jyb88t19r0z3tprpb9,reunit_first,4,4,1,0,reunit,task7,3.6,2.8,0.8,0.285714286,2
axwue604gfby4snj0tbeuq5mi4rn0zz4jyb88t19r0z3tprpb9,reunit_first,5,5,1,0,reunit,task12,2.5,3.3,0.8,0.242424242,3
axwue604gfby4snj0tbeuq5mi4rn0zz4jyb88t19r0z3tprpb9,reunit_first,6,6,1,0,reunit,task1,50,60.121,10.121,0.16834384,2
axwue604gfby4snj0tbeuq5mi4rn0zz4jyb88t19r0z3tprpb9,reunit_first,7,7,1,0,reunit,task2,192,227.429,35.429,0.155780485,3
axwue604gfby4snj0tbeuq5mi4rn0zz4jyb88t19r0z3tprpb9,reunit_first,8,8,1,0,reunit,task11,3.7,3.8,0.1,0.026315789,3
bjfcsticq9zsim33o68eg0hpviupc1m7hplejy4jnbhep39dx6r,reunit_first,1,1,1,0,reunit,task2,10,227.429,217.429,0.956030234,4
bjfcsticq9zsim33o68eg0hpviupc1m7hplejy4jnbhep39dx6r,reunit_first,2,2,1,0,reunit,task12,5.2,3.3,1.9,0.575757576,2
bjfcsticq9zsim33o68eg0hpviupc1m7hplejy4jnbhep39dx6r,reunit_first,3,3,1,0,reunit,task9,1.6,3.2,1.6,0.5,2
bjfcsticq9zsim33o68eg0hpviupc1m7hplejy4jnbhep39dx6r,reunit_first,4,4,1,0,reunit,task7,1.8,2.8,1,0.357142857,2
bjfcsticq9zsim33o68eg0hpviupc1m7hplejy4jnbhep39dx6r,reunit_first,5,5,1,0,reunit,task6,139,215,76,0.353488372,2
bjfcsticq9zsim33o68eg0hpviupc1m7hplejy4jnbhep39dx6r,reunit_first,6,6,1,0,reunit,task11,2.5,3.8,1.3,0.342105263,2
bjfcsticq9zsim33o68eg0hpviupc1m7hplejy4jnbhep39dx6r,reunit_first,7,7,1,0,reunit,task1,47,60.121,13.121,0.21824321,3
bjfcsticq9zsim33o68eg0hpviupc1m7hplejy4jnbhep39dx6r,reunit_first,8,8,1,0,reunit,task5,682,580,102,0.175862069,2
c972j3v2lwkviffbuzo57gy14i4feil2xq7096z8rcevg09vygb9,reunit_first,1,1,1,0,reunit,task9,7.5,3.2,4.3,1.34375,2
c972j3v2lwkviffbuzo57gy14i4feil2xq7096z8rcevg09vygb9,reunit_first,2,2,1,0,reunit,task6,373,215,158,0.734883721,2
c972j3v2lwkviffbuzo57gy14i4feil2xq7096z8rcevg09vygb9,reunit_first,3,3,1,0,reunit,task1,34,60.121,26.121,0.434473811,3
c972j3v2lwkviffbuzo57gy14i4feil2xq7096z8rcevg09vygb9,reunit_first,4,4,1,0,reunit,task11,5.3,3.8,1.5,0.394736842,5
c972j3v2lwkviffbuzo57gy14i4feil2xq7096z8rcevg09vygb9,reunit_first,5,5,1,0,reunit,task7,3.8,2.8,1,0.357142857,2
c972j3v2lwkviffbuzo57gy14i4feil2xq7096z8rcevg09vygb9,reunit_first,6,6,1,0,reunit,task12,4,3.3,0.7,0.212121212,2
c972j3v2lwkviffbuzo57gy14i4feil2xq7096z8rcevg09vygb9,reunit_first,7,7,1,0,reunit,task2,183,227.429,44.429,0.195353275,2
c972j3v2lwkviffbuzo57gy14i4feil2xq7096z8rcevg09vygb9,reunit_first,8,8,1,0,reunit,task5,629,580,49,0.084482759,4
d0itkhj32s4koqxe2xpsxg8pvir6rhxw5kgiu7l1otb6z7fzuxr,reunit_first,1,1,1,0,reunit,task1,90,60.121,29.879,0.496981088,2
d0itkhj32s4koqxe2xpsxg8pvir6rhxw5kgiu7l1otb6z7fzuxr,reunit_first,2,2,1,0,reunit,task2,142,227.429,85.429,0.375629317,3
d0itkhj32s4koqxe2xpsxg8pvir6rhxw5kgiu7l1otb6z7fzuxr,reunit_first,3,3,1,0,reunit,task12,4,3.3,0.7,0.212121212,2
d0itkhj32s4koqxe2xpsxg8pvir6rhxw5kgiu7l1otb6z7fzuxr,reunit_first,4,4,1,0,reunit,task11,4.5,3.8,0.7,0.184210526,2
d0itkhj32s4koqxe2xpsxg8pvir6rhxw5kgiu7l1otb6z7fzuxr,reunit_first,5,5,1,0,reunit,task5,658,580,78,0.134482759,2
d0itkhj32s4koqxe2xpsxg8pvir6rhxw5kgiu7l1otb6z7fzuxr,reunit_first,6,6,1,0,reunit,task9,3.6,3.2,0.4,0.125,2
d0itkhj32s4koqxe2xpsxg8pvir6rhxw5kgiu7l1otb6z7fzuxr,reunit_first,7,7,1,0,reunit,task7,3.1,2.8,0.3,0.107142857,2
d0itkhj32s4koqxe2xpsxg8pvir6rhxw5kgiu7l1otb6z7fzuxr,reunit_first,8,8,1,0,reunit,task6,230,215,15,0.069767442,2
d2c5c5m3wermbtwbhvwzmpldilzohfnuedxfqvr2ibyuakmx6r,reunit_first,1,1,1,0,reunit,task11,5.6,3.8,1.8,0.473684211,2
d2c5c5m3wermbtwbhvwzmpldilzohfnuedxfqvr2ibyuakmx6r,reunit_first,2,2,1,0,reunit,task9,4.7,3.2,1.5,0.46875,2
d2c5c5m3wermbtwbhvwzmpldilzohfnuedxfqvr2ibyuakmx6r,reunit_first,3,3,1,0,reunit,task12,4.5,3.3,1.2,0.363636364,2
d2c5c5m3wermbtwbhvwzmpldilzohfnuedxfqvr2ibyuakmx6r,reunit_first,4,4,1,0,reunit,task5,403,580,177,0.305172414,2
d2c5c5m3wermbtwbhvwzmpldilzohfnuedxfqvr2ibyuakmx6r,reunit_first,5,5,1,0,reunit,task1,73,60.121,12.879,0.214217994,2
d2c5c5m3wermbtwbhvwzmpldilzohfnuedxfqvr2ibyuakmx6r,reunit_first,6,6,1,0,reunit,task7,3.2,2.8,0.4,0.142857143,4
d2c5c5m3wermbtwbhvwzmpldilzohfnuedxfqvr2ibyuakmx6r,reunit_first,7,7,1,0,reunit,task2,256,227.429,28.571,0.12562602,2
d2c5c5m3wermbtwbhvwzmpldilzohfnuedxfqvr2ibyuakmx6r,reunit_first,8,8,1,0,reunit,task6,223,215,8,0.037209302,2
duq4yl6pvamq5qzsueqo7p66r5kkvdlaoxd10lt0smbxnxnipb9,none_first,1,9,1,0,reunit,task9,7.5,3.2,4.3,1.34375,2
duq4yl6pvamq5qzsueqo7p66r5kkvdlaoxd10lt0smbxnxnipb9,none_first,2,10,1,0,reunit,task7,5,2.8,2.2,0.785714286,2
duq4yl6pvamq5qzsueqo7p66r5kkvdlaoxd10lt0smbxnxnipb9,none_first,3,11,1,0,reunit,task6,100,215,115,0.534883721,3
duq4yl6pvamq5qzsueqo7p66r5kkvdlaoxd10lt0smbxnxnipb9,none_first,4,12,1,0,reunit,task12,2,3.3,1.3,0.393939394,3
duq4yl6pvamq5qzsueqo7p66r5kkvdlaoxd10lt0smbxnxnipb9,none_first,5,13,1,0,reunit,task2,308,227.429,80.571,0.354268805,4
duq4yl6pvamq5qzsueqo7p66r5kkvdlaoxd10lt0smbxnxnipb9,none_first,6,14,1,0,reunit,task11,5,3.8,1.2,0.315789474,2
duq4yl6pvamq5qzsueqo7p66r5kkvdlaoxd10lt0smbxnxnipb9,none_first,7,15,1,0,reunit,task5,400,580,180,0.310344828,3
duq4yl6pvamq5qzsueqo7p66r5kkvdlaoxd10lt0smbxnxnipb9,none_first,8,16,1,0,reunit,task1,60,60.121,0.121,0.002012608,2
duz9wqw6afqnhl7ne1ia6s,none_first,1,9,1,0,reunit,task9,7,3.2,3.8,1.1875,2
duz9wqw6afqnhl7ne1ia6s,none_first,2,10,1,0,reunit,task2,150,227.429,77.429,0.340453504,2
duz9wqw6afqnhl7ne1ia6s,none_first,3,11,1,0,reunit,task6,150,215,65,0.302325581,2
duz9wqw6afqnhl7ne1ia6s,none_first,4,12,1,0,reunit,task7,2,2.8,0.8,0.285714286,2
duz9wqw6afqnhl7ne1ia6s,none_first,5,13,1,0,reunit,task12,4,3.3,0.7,0.212121212,2
duz9wqw6afqnhl7ne1ia6s,none_first,6,14,1,0,reunit,task11,3,3.8,0.8,0.210526316,2
duz9wqw6afqnhl7ne1ia6s,none_first,7,15,1,0,reunit,task1,48,60.121,12.121,0.201610086,2
duz9wqw6afqnhl7ne1ia6s,none_first,8,16,1,0,reunit,task5,600,580,20,0.034482759,2
dy8lo2j2hxtxtx6kbmn1jdcxrrmonvz2p9sh8ws6shndmcmcxr,reunit_first,1,1,1,0,reunit,task5,315,580,265,0.456896552,2
dy8lo2j2hxtxtx6kbmn1jdcxrrmonvz2p9sh8ws6shndmcmcxr,reunit_first,2,2,1,0,reunit,task7,4,2.8,1.2,0.428571429,2
dy8lo2j2hxtxtx6kbmn1jdcxrrmonvz2p9sh8ws6shndmcmcxr,reunit_first,3,3,1,0,reunit,task11,5.1,3.8,1.3,0.342105263,3
dy8lo2j2hxtxtx6kbmn1jdcxrrmonvz2p9sh8ws6shndmcmcxr,reunit_first,4,4,1,0,reunit,task12,3.9,3.3,0.6,0.181818182,2
dy8lo2j2hxtxtx6kbmn1jdcxrrmonvz2p9sh8ws6shndmcmcxr,reunit_first,5,5,1,0,reunit,task2,187,227.429,40.429,0.177765369,2
dy8lo2j2hxtxtx6kbmn1jdcxrrmonvz2p9sh8ws6shndmcmcxr,reunit_first,6,6,1,0,reunit,task6,248,215,33,0.153488372,2
dy8lo2j2hxtxtx6kbmn1jdcxrrmonvz2p9sh8ws6shndmcmcxr,reunit_first,7,7,1,0,reunit,task1,56,60.121,4.121,0.068545101,2
dy8lo2j2hxtxtx6kbmn1jdcxrrmonvz2p9sh8ws6shndmcmcxr,reunit_first,8,8,1,0,reunit,task9,3.1,3.2,0.1,0.03125,2
gyktwtdwe4v1kodtl4xqolxrx1e5ayq98j6igxtie2iysyvi,none_first,1,9,1,0,reunit,task12,5.3,3.3,2,0.606060606,2
gyktwtdwe4v1kodtl4xqolxrx1e5ayq98j6igxtie2iysyvi,none_first,2,10,1,0,reunit,task6,300,215,85,0.395348837,3
gyktwtdwe4v1kodtl4xqolxrx1e5ayq98j6igxtie2iysyvi,none_first,3,11,1,0,reunit,task7,3.9,2.8,1.1,0.392857143,3
gyktwtdwe4v1kodtl4xqolxrx1e5ayq98j6igxtie2iysyvi,none_first,4,12,1,0,reunit,task11,3,3.8,0.8,0.210526316,4
gyktwtdwe4v1kodtl4xqolxrx1e5ayq98j6igxtie2iysyvi,none_first,5,13,1,0,reunit,task2,187,227.429,40.429,0.177765369,2
gyktwtdwe4v1kodtl4xqolxrx1e5ayq98j6igxtie2iysyvi,none_first,6,14,1,0,reunit,task9,3.7,3.2,0.5,0.15625,2
gyktwtdwe4v1kodtl4xqolxrx1e5ayq98j6igxtie2iysyvi,none_first,7,15,1,0,reunit,task5,600,580,20,0.034482759,2
gyktwtdwe4v1kodtl4xqolxrx1e5ayq98j6igxtie2iysyvi,none_first,8,16,1,0,reunit,task1,59,60.121,1.121,0.018645731,2
hfgm8mqek53rj96e8jqt1emifnqz82o3f77lmqpkp0elqy3nmi,reunit_first,1,1,1,0,reunit,task11,5.5,3.8,1.7,0.447368421,2
hfgm8mqek53rj96e8jqt1emifnqz82o3f77lmqpkp0elqy3nmi,reunit_first,2,2,1,0,reunit,task7,3.7,2.8,0.9,0.321428571,2
hfgm8mqek53rj96e8jqt1emifnqz82o3f77lmqpkp0elqy3nmi,reunit_first,3,3,1,0,reunit,task2,167,227.429,60.429,0.265704901,2
