workerId	cond	order	task	qval	q1YN	q2rate	reunit	integ	pa	off	educ	drop
A36470UBRH28GO	integ	7	integrationS::14::1	125-meter	1	5	0	1	0	0	bach	0
A36470UBRH28GO	integ	27	integrationS::14::1	NA	NA	NA	0	1	0	0	bach	1
A1I9ZBV75AVWUS	integ	1	integrationS::15::1	400	1	4	0	1	0	0	high	0
A1FYFBIFYWTMJS	integ	11	integrationS::15::1	400vgallons	1	6	0	1	0	0	grad	0
AKLV0WIZZ356X	integ	8	integrationS::15::1	400 gallons	1	6	0	1	0	0	high	0
A31AG5Q0S5OI5V	integ	3	integrationS::15::1	400 gallons	1	3	0	1	0	0	bach	0
A1AEKMIKKEBZLZ	integ	4	integrationS::15::1	400 gallons	1	6	0	1	0	0	bach	0
A3IW9415ZOO0EX	integ	1	integrationS::15::1	400 gallons	1	6	0	1	0	0	high	0
A3HXCMU4MOPSQI	integ	12	integrationS::15::1	400 gallons	1	6	0	1	0	0	high	0
A21EY5PH7LGZX9	integ	3	integrationS::15::1	"11 inches 400 gallons 28.26 dollars 40 inches 77.73 dollars 20 dollars 2,000 dollars 340 dollars 920 dollars 200,000 acres 258 dollars"	1	4	0	1	0	0	bach	0
A1DJDT4B5B19Q2	integ	6	integrationS::15::1	400 gallons	0	1	0	1	0	0	bach	0
A3RR85PK3AV9TU	integ	4	integrationS::15::1	400 gallons	1	4	0	1	0	0	high	0
A1JCFCPGEYT1L4	integ	15	integrationS::15::1	400 gallons	1	6	0	1	0	0	high	0
A36470UBRH28GO	integ	23	integrationS::15::1	NA	NA	NA	0	1	0	0	bach	1
A31ZQLN5HTZZOS	integ	10	integrationS::15::1	400 gallons	1	6	0	1	0	0	other	0
A3BI0AX5T5GVO3	integ	1	integrationS::2::0	"1,000"	1	6	0	1	0	0	bach	0
A2P065E9CYMYJL	integ	13	integrationS::2::0	"1,000 feet"	0	0	0	1	0	0	high	0
A166A2M31CW2C7	integ	1	integrationS::2::0	"1,000 feet"	1	6	0	1	0	0	high	0
A96XCIH9SSMZT	integ	13	integrationS::2::0	"1,000 feet "	1	4	0	1	0	0	high	0
A31AG5Q0S5OI5V	integ	4	integrationS::2::0	1000 feet	1	1	0	1	0	0	bach	0
A1AEKMIKKEBZLZ	integ	3	integrationS::2::0	"1,000 feet"	1	5	0	1	0	0	bach	0
AAJ1ZQECDZBEE	integ	10	integrationS::2::0	1000 feet	1	5	0	1	0	0	bach	0
A3IW9415ZOO0EX	integ	11	integrationS::2::0	"1,000 feet"	0	0	0	1	0	0	high	0
A3HXCMU4MOPSQI	integ	7	integrationS::2::0	"1,000 feet"	1	6	0	1	0	0	high	0
A37I58C4258IPX	integ	8	integrationS::2::0	"1,000 feet"	1	6	0	1	0	0	bach	0
A21EY5PH7LGZX9	integ	10	integrationS::2::0	"1,000 feet"	1	2	0	1	0	0	bach	0
A14O2NZK81OSQ3	integ	8	integrationS::2::0	"1,000 feet"	1	4	0	1	0	0	bach	0
A2QH1BQA6GR48O	integ	10	integrationS::2::0	"1,000 feet  40 pounds   28 pounds"	1	4	0	1	0	0	bach	0
A149ROBL26JWPJ	integ	11	integrationS::2::0	"1,000 feet"	0	2	0	1	0	0	bach	0
A1JCFCPGEYT1L4	integ	8	integrationS::2::0	"1,000 feet"	1	6	0	1	0	0	high	0
A3BI0AX5T5GVO3	integ	14	integrationS::2::2	28	1	5	0	1	0	0	bach	0
A166A2M31CW2C7	integ	13	integrationS::2::2	28 pounds	1	5	0	1	0	0	high	0
A96XCIH9SSMZT	integ	14	integrationS::2::2	28 pounds	1	6	0	1	0	0	high	0
A1IZGLH8YSAOVF	integ	2	integrationS::2::2	28 pounds	1	6	0	1	0	0	bach	0
A1FYFBIFYWTMJS	integ	5	integrationS::2::2	28vpounds	1	6	0	1	0	0	grad	0
AKLV0WIZZ356X	integ	5	integrationS::2::2	28 pounds	1	6	0	1	0	0	high	0
A1AEKMIKKEBZLZ	integ	11	integrationS::2::2	28 pounds	1	6	0	1	0	0	bach	0
A1TH0PTGDSBWMO	integ	4	integrationS::2::2	28 pounds	1	6	0	1	0	0	high	0
A1DJDT4B5B19Q2	integ	3	integrationS::2::2	"28.94 pounds, 28 pounds"	0	0	0	1	0	0	bach	0
A14O2NZK81OSQ3	integ	1	integrationS::2::2	28 pounds	1	6	0	1	0	0	bach	0
A149ROBL26JWPJ	integ	5	integrationS::2::2	28 pounds	1	5	0	1	0	0	bach	0
A3RR85PK3AV9TU	integ	11	integrationS::2::2	28 pounds	1	5	0	1	0	0	high	0
A1JCFCPGEYT1L4	integ	6	integrationS::2::2	28 pounds	1	3	0	1	0	0	high	0
A36470UBRH28GO	integ	5	integrationS::2::2	28 pounds	1	5	0	1	0	0	bach	0
A36470UBRH28GO	integ	29	integrationS::2::2	28 pounds	1	6	0	1	0	0	bach	0
A31ZQLN5HTZZOS	integ	8	integrationS::2::2	28 pounds	1	6	0	1	0	0	other	0
A3BI0AX5T5GVO3	off	2	offS::1::0	"4,225"	1	4	0	0	0	1	bach	0
A2P065E9CYMYJL	off	3	offS::1::0	" 4,225 dollars"	0	0	0	0	0	1	high	0
A166A2M31CW2C7	off	10	offS::1::0	"4,225 dollars"	0	0	0	0	0	1	high	0
A96XCIH9SSMZT	off	4	offS::1::0	"4,225 dollars"	1	5	0	0	0	1	high	0
A1IZGLH8YSAOVF	off	15	offS::1::0	"4,225 dollars"	0	0	0	0	0	1	bach	0
AKLV0WIZZ356X	off	1	offS::1::0	" 4,225 dollars "	1	4	0	0	0	1	high	0
A3IW9415ZOO0EX	off	8	offS::1::0	"4,225 dollars"	1	6	0	0	0	1	high	0
A3HXCMU4MOPSQI	off	3	offS::1::0	"4,225 dollars"	1	2	0	0	0	1	high	0
A1TH0PTGDSBWMO	off	10	offS::1::0	"4,225 dollars"	1	6	0	0	0	1	high	0
A37I58C4258IPX	off	4	offS::1::0	"4,225 dollars"	1	4	0	0	0	1	bach	0
A1UURQF07IOXBO	off	5	offS::1::0	"4,225"	0	3	0	0	0	1	bach	0
A21EY5PH7LGZX9	off	4	offS::1::0	"4,225 dollars 98 dollars 200 dollars "	1	5	0	0	0	1	bach	0
A1DJDT4B5B19Q2	off	13	offS::1::0	" 4,225 dollars, 98 dollars"	1	6	0	0	0	1	bach	0
A14O2NZK81OSQ3	off	9	offS::1::0	"4,225 dollars "	0	3	0	0	0	1	bach	0
A149ROBL26JWPJ	off	8	offS::1::0	"4,225 dollars"	1	3	0	0	0	1	bach	0
A3RR85PK3AV9TU	off	10	offS::1::0	"4,225 dollars"	0	3	0	0	0	1	high	0
A31ZQLN5HTZZOS	off	2	offS::1::0	"4,225 dollars"	1	6	0	0	0	1	other	0
A166A2M31CW2C7	off	2	offS::11::3_4	"1,000 cubic metres"	0	1	0	0	0	1	high	0
A96XCIH9SSMZT	off	6	offS::11::3_4	"1,000 cubic metres   12,000,000 cubic metres"	0	0	0	0	0	1	high	0
A3UC45GKCAZ7ZU	off	1	offS::11::3_4	1000 12000000 cubic metres	0	0	0	0	0	1	high	0
A1I9ZBV75AVWUS	off	12	offS::11::3_4	1000 12000000	0	0	0	0	0	1	high	0
A31AG5Q0S5OI5V	off	15	offS::11::3_4	"1,000 cubic metres 12,000,000 cubic metres"	1	5	0	0	0	1	bach	0
A1AEKMIKKEBZLZ	off	1	offS::11::3_4	"1,000 cubic metres"	0	0	0	0	0	1	bach	0
AAJ1ZQECDZBEE	off	12	offS::11::3_4	1000 cubic meters	0	0	0	0	0	1	bach	0
A3IW9415ZOO0EX	off	14	offS::11::3_4	"1,000 cubic metres 12,000,000 cubic metres"	0	0	0	0	0	1	high	0
A1T29BTOVBSEA6	off	7	offS::11::3_4	"1,000 cubic metres 12,000,000 cubic metres"	0	1	0	0	0	1	bach	0
A3HXCMU4MOPSQI	off	14	offS::11::3_4	"1,000 cubic metres 12,000,000 cubic metres"	0	0	0	0	0	1	high	0
A2YNN8T8ROWHES	off	11	offS::11::3_4	"1,000 cubic metres 12,000,000 cubic metres"	1	3	0	0	0	1	bach	0
A2O5OJXCUFQ3FV	off	5	offS::11::3_4	"1,000 cubic metres, 12,000,000 cubic metres"	0	1	0	0	0	1	bach	0
A21EY5PH7LGZX9	off	11	offS::11::3_4	"1,000 cubic meters 12,000,000 cubic meters"	0	0	0	0	0	1	bach	0
A14O2NZK81OSQ3	off	4	offS::11::3_4	"1,000 cubic meters"	1	4	0	0	0	1	bach	0
A2QH1BQA6GR48O	off	5	offS::11::3_4	"1,000 cubic metres"	0	0	0	0	0	1	bach	0
A149ROBL26JWPJ	off	4	offS::11::3_4	"1,000 cubic metres/12,000,000 cubic metres"	0	1	0	0	0	1	bach	0
A36470UBRH28GO	off	1	offS::11::3_4	"1,000 cubic metres"	0	1	0	0	0	1	bach	0
A3V3108A3ODROZ	off	8	offS::13::0	500 pounds	1	6	0	0	0	1	high	0
A3UC45GKCAZ7ZU	off	15	offS::13::0	500 pounds	1	5	0	0	0	1	high	0
A1I9ZBV75AVWUS	off	15	offS::13::0	500	0	2	0	0	0	1	high	0
A1IZGLH8YSAOVF	off	6	offS::13::0	500 pounds	1	4	0	0	0	1	bach	0
AKLV0WIZZ356X	off	12	offS::13::0	500 pounds	0	2	0	0	0	1	high	0
A1AEKMIKKEBZLZ	off	15	offS::13::0	500 pounds	0	0	0	0	0	1	bach	0
AAJ1ZQECDZBEE	off	14	offS::13::0	500 pounds	0	0	0	0	0	1	bach	0
A3IW9415ZOO0EX	off	4	offS::13::0	500 pounds	0	0	0	0	0	1	high	0
A3HXCMU4MOPSQI	off	11	offS::13::0	500 pounds	1	4	0	0	0	1	high	0
A1TH0PTGDSBWMO	off	6	offS::13::0	500 pounds	1	6	0	0	0	1	high	0
A2YNN8T8ROWHES	off	12	offS::13::0	500 pounds	0	2	0	0	0	1	bach	0
A2QH1BQA6GR48O	off	9	offS::13::0	"500 pounds  7,700 pounds   200-pound "	0	1	0	0	0	1	bach	0
A3RR85PK3AV9TU	off	3	offS::13::0	500 pounds	1	4	0	0	0	1	high	0
A1JCFCPGEYT1L4	off	5	offS::13::0	500 pounds	1	5	0	0	0	1	high	0
A36470UBRH28GO	off	16	offS::13::0	500 pounds	0	1	0	0	0	1	bach	0
A31ZQLN5HTZZOS	off	15	offS::13::0	500 pounds	1	5	0	0	0	1	other	0
A3V3108A3ODROZ	off	9	offS::13::10	"11,000 pounds"	1	6	0	0	0	1	high	0
A2P065E9CYMYJL	off	9	offS::13::10	"11,000 pounds"	1	5	0	0	0	1	high	0
A166A2M31CW2C7	off	15	offS::13::10	"11,000 pounds"	1	3	0	0	0	1	high	0
A96XCIH9SSMZT	off	15	offS::13::10	"11,000 pounds"	0	1	0	0	0	1	high	0
A1IZGLH8YSAOVF	off	1	offS::13::10	"11,000 lbs"	0	2	0	0	0	1	bach	0
AKLV0WIZZ356X	off	2	offS::13::10	"11,000 pounds"	0	1	0	0	0	1	high	0
AAJ1ZQECDZBEE	off	4	offS::13::10	11000 pounds	0	1	0	0	0	1	bach	0
A3IW9415ZOO0EX	off	3	offS::13::10	"11,000 pounds"	0	0	0	0	0	1	high	0
A3HXCMU4MOPSQI	off	10	offS::13::10	"11,000 pounds"	1	4	0	0	0	1	high	0
A1TH0PTGDSBWMO	off	7	offS::13::10	"11,000 pounds"	1	6	0	0	0	1	high	0
A37I58C4258IPX	off	15	offS::13::10	"11,000 pounds"	0	3	0	0	0	1	bach	0
A1DJDT4B5B19Q2	off	12	offS::13::10	 11000 pounds	0	5	0	0	0	1	bach	0
A14O2NZK81OSQ3	off	13	offS::13::10	"11,000 pounds"	0	1	0	0	0	1	bach	0
A2QH1BQA6GR48O	off	12	offS::13::10	500 pounds 7700 pounds	1	4	0	0	0	1	bach	0
A149ROBL26JWPJ	off	3	offS::13::10	"11,000 pounds"	1	3	0	0	0	1	bach	0
A3RR85PK3AV9TU	off	13	offS::13::10	 	1	4	0	0	0	1	high	1
A3BI0AX5T5GVO3	off	6	offS::13::6_10	"200, 11000"	1	5	0	0	0	1	bach	0
A3V3108A3ODROZ	off	6	offS::13::6_10	"200-pound, 11,000 pounds"	1	6	0	0	0	1	high	0
A2P065E9CYMYJL	off	2	offS::13::6_10	"200 pound, 11000 pound"	1	4	0	0	0	1	high	0
A166A2M31CW2C7	off	9	offS::13::6_10	200-pound	0	2	0	0	0	1	high	0
A96XCIH9SSMZT	off	12	offS::13::6_10	"200 pound   11,000 pounds"	1	6	0	0	0	1	high	0
A1IZGLH8YSAOVF	off	12	offS::13::6_10	"200-pound 11,000 pounds"	1	3	0	0	0	1	bach	0
A1FYFBIFYWTMJS	off	7	offS::13::6_10	pound	0	1	0	0	0	1	grad	0
A1T29BTOVBSEA6	off	11	offS::13::6_10	"200-pound 11,000-pounds"	1	3	0	0	0	1	bach	0
A1TH0PTGDSBWMO	off	15	offS::13::6_10	"200-pound 11,000 pounds"	1	6	0	0	0	1	high	0
A37I58C4258IPX	off	3	offS::13::6_10	"200-pound 11,000-pound"	1	4	0	0	0	1	bach	0
A2O5OJXCUFQ3FV	off	10	offS::13::6_10	"200-pound, 11,000 pounds"	0	1	0	0	0	1	bach	0
A14O2NZK81OSQ3	off	3	offS::13::6_10	"11,000 pounds"	1	4	0	0	0	1	bach	0
A149ROBL26JWPJ	off	6	offS::13::6_10	"200-pound/11,000 pounds"	1	4	0	0	0	1	bach	0
A1JCFCPGEYT1L4	off	10	offS::13::6_10	"200 and 11,000 pounds"	1	6	0	0	0	1	high	0
A36470UBRH28GO	off	24	offS::13::6_10	"200-pound, 11,000 pounds"	0	1	0	0	0	1	bach	0
A3BI0AX5T5GVO3	off	5	offS::14::1	125	1	6	0	0	0	1	bach	0
A3V3108A3ODROZ	off	12	offS::14::1	125-meter	1	6	0	0	0	1	high	0
A2P065E9CYMYJL	off	14	offS::14::1	125-meter	1	4	0	0	0	1	high	0
A96XCIH9SSMZT	off	1	offS::14::1	125-meter	1	4	0	0	0	1	high	0
A1I9ZBV75AVWUS	off	3	offS::14::1	125	0	1	0	0	0	1	high	0
A1IZGLH8YSAOVF	off	3	offS::14::1	125-meter	0	1	0	0	0	1	bach	0
A31AG5Q0S5OI5V	off	14	offS::14::1	125-meter	1	0	0	0	0	1	bach	0
A1AEKMIKKEBZLZ	off	5	offS::14::1	125 meter	0	0	0	0	0	1	bach	0
A1T29BTOVBSEA6	off	6	offS::14::1	125-meter	0	1	0	0	0	1	bach	0
A1TH0PTGDSBWMO	off	5	offS::14::1	125-meter 	1	6	0	0	0	1	high	0
A37I58C4258IPX	off	14	offS::14::1	125-meter	0	1	0	0	0	1	bach	0
A2O5OJXCUFQ3FV	off	15	offS::14::1	125-meter	1	3	0	0	0	1	bach	0
A1DJDT4B5B19Q2	off	15	offS::14::1	125-meter	0	2	0	0	0	1	bach	0
A14O2NZK81OSQ3	off	10	offS::14::1	125-meter 	0	1	0	0	0	1	bach	0
A1JCFCPGEYT1L4	off	14	offS::14::1	125 meter	0	0	0	0	0	1	high	0
A31ZQLN5HTZZOS	off	6	offS::14::1	125-meter	1	6	0	0	0	1	other	0
A96XCIH9SSMZT	off	8	offS::14::7	18.3 meters	1	5	0	0	0	1	high	0
A3UC45GKCAZ7ZU	off	2	offS::14::7	18.3 meters/kilometer	0	0	0	0	0	1	high	0
A1I9ZBV75AVWUS	off	4	offS::14::7	18.3	0	0	0	0	0	1	high	0
A1IZGLH8YSAOVF	off	4	offS::14::7	18.3 meters	0	2	0	0	0	1	bach	0
A1FYFBIFYWTMJS	off	3	offS::14::7	 18.3 meters 	0	0	0	0	0	1	grad	0
AKLV0WIZZ356X	off	11	offS::14::7	18.3 meters 	1	3	0	0	0	1	high	0
A1AEKMIKKEBZLZ	off	14	offS::14::7	18.3 meters	0	0	0	0	0	1	bach	0
A3IW9415ZOO0EX	off	2	offS::14::7	18.3 meters	0	0	0	0	0	1	high	0
A3HXCMU4MOPSQI	off	15	offS::14::7	18.3 meters	0	0	0	0	0	1	high	0
A1TH0PTGDSBWMO	off	3	offS::14::7	18.3 meters 	1	6	0	0	0	1	high	0
A1UURQF07IOXBO	off	12	offS::14::7	18.3	0	1	0	0	0	1	bach	0
A2YNN8T8ROWHES	off	13	offS::14::7	18.3 meters	0	0	0	0	0	1	bach	0
A21EY5PH7LGZX9	off	15	offS::14::7	18.3 meters	0	0	0	0	0	1	bach	0
A1DJDT4B5B19Q2	off	5	offS::14::7	" 1,384 meters long, 125-meter"	0	1	0	0	0	1	bach	0
A14O2NZK81OSQ3	off	11	offS::14::7	18.3 meters	0	1	0	0	0	1	bach	0
A3RR85PK3AV9TU	off	14	offS::14::7	18.3 meters	0	3	0	0	0	1	high	0
A31ZQLN5HTZZOS	off	7	offS::14::7	18.3 meters	0	1	0	0	0	1	other	0
A3BI0AX5T5GVO3	off	12	offS::15::1	400	1	4	0	0	0	1	bach	0
A3V3108A3ODROZ	off	13	offS::15::1	400 gallons	1	6	0	0	0	1	high	0
A2P065E9CYMYJL	off	7	offS::15::1	400 gallons	1	5	0	0	0	1	high	0
A166A2M31CW2C7	off	3	offS::15::1	400 gallons	1	3	0	0	0	1	high	0
A96XCIH9SSMZT	off	2	offS::15::1	400 gallons	0	2	0	0	0	1	high	0
A3UC45GKCAZ7ZU	off	3	offS::15::1	gallons	1	4	0	0	0	1	high	1
A1IZGLH8YSAOVF	off	8	offS::15::1	400 gallons	0	2	0	0	0	1	bach	0
AAJ1ZQECDZBEE	off	7	offS::15::1	400 gallons	0	2	0	0	0	1	bach	0
A1T29BTOVBSEA6	off	8	offS::15::1	400 gallons	0	2	0	0	0	1	bach	0
A1TH0PTGDSBWMO	off	9	offS::15::1	400 gallons 	1	6	0	0	0	1	high	0
A37I58C4258IPX	off	6	offS::15::1	400 gallons	0	1	0	0	0	1	bach	0
A1UURQF07IOXBO	off	7	offS::15::1	400 gallons	0	3	0	0	0	1	bach	0
A2YNN8T8ROWHES	off	5	offS::15::1	400 gallons	0	1	0	0	0	1	bach	0
A2O5OJXCUFQ3FV	off	2	offS::15::1	400 gallons	1	5	0	0	0	1	bach	0
A14O2NZK81OSQ3	off	12	offS::15::1	400 gallons 	0	2	0	0	0	1	bach	0
A2QH1BQA6GR48O	off	14	offS::15::1	 400 gallons  28.26 dollars 	1	0	0	0	0	1	bach	0
A149ROBL26JWPJ	off	2	offS::15::1	400 gallons	0	1	0	0	0	1	bach	0
A36470UBRH28GO	off	3	offS::15::1	400 gallons 	1	4	0	0	0	1	bach	0
A3BI0AX5T5GVO3	off	7	offS::16::0	85	1	4	0	0	0	1	bach	0
A3V3108A3ODROZ	off	4	offS::16::0	85 kilogram	1	0	0	0	0	1	high	0
A96XCIH9SSMZT	off	7	offS::16::0	85 kilogram	0	1	0	0	0	1	high	0
AKLV0WIZZ356X	off	3	offS::16::0	85 kilogram 	1	3	0	0	0	1	high	0
A1AEKMIKKEBZLZ	off	9	offS::16::0	85 kilogram	1	5	0	0	0	1	bach	0
AAJ1ZQECDZBEE	off	9	offS::16::0	85 kilogram	0	0	0	0	0	1	bach	0
A1DJDT4B5B19Q2	off	14	offS::16::0	 85 kilogram	0	2	0	0	0	1	bach	0
A14O2NZK81OSQ3	off	6	offS::16::0	85 kilogram	0	2	0	0	0	1	bach	0
A2QH1BQA6GR48O	off	3	offS::16::0	85 kilogram 	1	6	0	0	0	1	bach	0
A3RR85PK3AV9TU	off	1	offS::16::0	85 kilogram	0	1	0	0	0	1	high	0
A1JCFCPGEYT1L4	off	2	offS::16::0	85 kilogram	0	0	0	0	0	1	high	0
A36470UBRH28GO	off	8	offS::16::0	85 kilogram	1	5	0	0	0	1	bach	0
A36470UBRH28GO	off	21	offS::16::0	85 kg	0	0	0	0	0	1	bach	0
A31ZQLN5HTZZOS	off	3	offS::16::0	85 kilogram	1	6	0	0	0	1	other	0
A3V3108A3ODROZ	off	14	offS::17::3_4	"60,830,000,000 cubic km, 1,083,210,000,000 cubic km"	1	6	0	0	0	1	high	0
A1FYFBIFYWTMJS	off	4	offS::17::3_4	"60,830,000,000 cubic km  1,083,210,000,000 cubic km"	0	0	0	0	0	1	grad	0
AKLV0WIZZ356X	off	9	offS::17::3_4	"60,830,000,000 cubic km  1,083,210,000,000 cubic km"	0	0	0	0	0	1	high	0
A31AG5Q0S5OI5V	off	12	offS::17::3_4	"60,830,000,000 cubic km 1,083,210,000,000 cubic km"	0	0	0	0	0	1	bach	0
A1AEKMIKKEBZLZ	off	12	offS::17::3_4	"60,830,000,000 cubic km, 1,083,210,000,000 cubic km"	0	0	0	0	0	1	bach	0
AAJ1ZQECDZBEE	off	15	offS::17::3_4	"60,830,000,000 cubic km,1,083,210,000,000 cubic km "	0	0	0	0	0	1	bach	0
A3IW9415ZOO0EX	off	13	offS::17::3_4	"60,830,000,000 cubic km 1,083,210,000,000 cubic km "	1	3	0	0	0	1	high	0
A1T29BTOVBSEA6	off	15	offS::17::3_4	"60,830,000,000 cubic km 1,083,210,000,000 cubic km"	1	4	0	0	0	1	bach	0
A3HXCMU4MOPSQI	off	5	offS::17::3_4	"60,830,000,000 cubic km 1,083,210,000,000 cubic km"	1	3	0	0	0	1	high	0
A2O5OJXCUFQ3FV	off	1	offS::17::3_4	"1,100-pound, 50 feet , 60,830,000,000 cubic km"	1	4	0	0	0	1	bach	0
A21EY5PH7LGZX9	off	7	offS::17::3_4	"1,100-pound 8750 miles 50 feet 60,830,000,000 cubic km 1,083,210,000,000 cubic km"	0	0	0	0	0	1	bach	0
A1DJDT4B5B19Q2	off	7	offS::17::3_4	" 60,830,000,000 cubic km (compare to the earth at 1,083,210,000,000 cubic km) "	0	0	0	0	0	1	bach	0
A2QH1BQA6GR48O	off	1	offS::17::3_4	50ft	1	3	0	0	0	1	bach	1
A3RR85PK3AV9TU	off	5	offS::17::3_4	"60,830,000,000 cubic km 1,083,210,000,000 cubic km"	0	1	0	0	0	1	high	0
A1JCFCPGEYT1L4	off	7	offS::17::3_4	"60,830,000,000 and 1,083,210,000,000 cubic km"	1	3	0	0	0	1	high	0
A3V3108A3ODROZ	off	2	offS::2::0	1000	1	6	0	0	0	1	high	0
A3UC45GKCAZ7ZU	off	4	offS::2::0	1000 feet	0	0	0	0	0	1	high	0
A1I9ZBV75AVWUS	off	13	offS::2::0	1000	0	1	0	0	0	1	high	0
A1IZGLH8YSAOVF	off	5	offS::2::0	1000 feet	0	2	0	0	0	1	bach	0
A1FYFBIFYWTMJS	off	9	offS::2::0	1000 feet	0	0	0	0	0	1	grad	0
AKLV0WIZZ356X	off	7	offS::2::0	"1,000 feet "	0	1	0	0	0	1	high	0
A1T29BTOVBSEA6	off	10	offS::2::0	"1,000 feet"	0	1	0	0	0	1	bach	0
A1TH0PTGDSBWMO	off	13	offS::2::0	"1,000 feet"	1	6	0	0	0	1	high	0
A1UURQF07IOXBO	off	11	offS::2::0	"1,000 feet"	0	3	0	0	0	1	bach	0
A2YNN8T8ROWHES	off	9	offS::2::0	"1,000 feet"	0	1	0	0	0	1	bach	0
A2O5OJXCUFQ3FV	off	12	offS::2::0	7254	1	3	0	0	0	1	bach	1
A1DJDT4B5B19Q2	off	2	offS::2::0	"28 pounds, 40 pounds"	0	4	0	0	0	1	bach	0
A3RR85PK3AV9TU	off	6	offS::2::0	"1,000 feet"	1	4	0	0	0	1	high	0
A36470UBRH28GO	off	10	offS::2::0	"1,000 feet"	0	3	0	0	0	1	bach	0
A36470UBRH28GO	off	18	offS::2::0	1000 feet	0	0	0	0	0	1	bach	0
A31ZQLN5HTZZOS	off	11	offS::2::0	"1,000 feet"	1	6	0	0	0	1	other	0
A3V3108A3ODROZ	off	7	offS::2::2	28 pounds	1	6	0	0	0	1	high	0
A2P065E9CYMYJL	off	4	offS::2::2	28 pounds	0	1	0	0	0	1	high	0
A3UC45GKCAZ7ZU	off	14	offS::2::2	28 pounds	0	0	0	0	0	1	high	0
A1I9ZBV75AVWUS	off	7	offS::2::2	28	1	5	0	0	0	1	high	0
A31AG5Q0S5OI5V	off	1	offS::2::2	28 pounds	1	5	0	0	0	1	bach	0
AAJ1ZQECDZBEE	off	6	offS::2::2	28 pounds	1	4	0	0	0	1	bach	0
A3IW9415ZOO0EX	off	9	offS::2::2	28 pounds	0	0	0	0	0	1	high	0
A1T29BTOVBSEA6	off	13	offS::2::2	28 pounds	0	3	0	0	0	1	bach	0
A3HXCMU4MOPSQI	off	9	offS::2::2	28 pounds 	1	4	0	0	0	1	high	0
A37I58C4258IPX	off	9	offS::2::2	28 pounds	1	4	0	0	0	1	bach	0
A1UURQF07IOXBO	off	9	offS::2::2	28 pounds	0	1	0	0	0	1	bach	0
A2YNN8T8ROWHES	off	1	offS::2::2	28 pounds	1	4	0	0	0	1	bach	0
