assignmentid	workerid	Answer.task	Answer.myanswersA	Answer.myanswersC
3K4J6M3CXETUHZKIEDPXP1M14WIAG0	AQORJW4W8U9YU	"n02735688::area,n03337140::file,n02865665::bolt,n04566257::weaponry,n03018209::china,n03786096::morning dress,n03243218::drive,n04154938::screw thread,n04107743::room light,n03078995::compact"	::0::0::0::0::0::0::1::1::0::1	::1::1::1::1::1::1::1::1::1::1
3L2IS5HSFAIK60F27MJJFM7SCB2NU3	AYHD24CB36YYG	"n02735688::area,n02865665::bolt,n03078995::compact,n03786096::morning dress,n04154938::screw thread,n03018209::china,n03243218::drive,n04107743::room light,n04566257::weaponry,n03337140::file"	::0::1::1::1::0::1::1::1::1::1	::0::1::1::1::0::0::0::1::0::0
3L4PIM1GQTGM27RZAUXPRRIF9W4RYV	A2SPF0XH4LNRK1	"n04107743::room light,n03786096::morning dress,n02735688::area,n03337140::file,n03243218::drive,n03018209::china,n04154938::screw thread,n04566257::weaponry,n02865665::bolt,n03078995::compact"	::1::1::0::1::1::1::1::0::1::1	::1::1::1::1::1::1::1::0::1::1
3SEPORI8WNZU8GFN45DMA827FMJZAL	A2OXXHGAM7B0Y	"n02865665::bolt,n03078995::compact,n04154938::screw thread,n02735688::area,n03243218::drive,n04107743::room light,n03018209::china,n03786096::morning dress,n03337140::file,n04566257::weaponry"	::1::1::0::0::1::1::1::1::1::0	::1::1::1::1::1::1::0::1::1::0
3OS4RQUCR9FTM9TF97JB2R6VLZ0BFU	A2C57JVPIOH7F2	"n03468821::gun case,n03744840::memory device,n03051540::clothing,n04023119::pump well,n02824448::bell,n03102859::cooling system,n04524313::vehicle,n04020744::pull-off,n03539433::horseshoe,n04126980::safety match"	::1::1::1::0::1::1::1::0::1::1	::1::1::0::1::1::1::1::1::1::1
3XM0HYN6NKZ3KPUTX1H6FTQKQ22EP2	A2AJWXDQP805QJ	"n03744840::memory device,n04020744::pull-off,n04023119::pump well,n03539433::horseshoe,n02824448::bell,n03051540::clothing,n04524313::vehicle,n03468821::gun case,n04126980::safety match,n03102859::cooling system"	::1::0::0::1::1::1::0::1::1::0	::1::0::1::1::1::0::1::1::1::1
3KWTYT08703DXLM2U8VWUIBN8ZB5L3	A2UHEMRALXKUCF	"n03468821::gun case,n03744840::memory device,n03539433::horseshoe,n02824448::bell,n03051540::clothing,n04023119::pump well,n04524313::vehicle,n03102859::cooling system,n04020744::pull-off,n04126980::safety match"	::1::1::0::1::1::0::0::1::0::1	::1::1::1::1::0::1::1::1::1::1
32VNZTT0A74640DFLN9IB2E8EV44RM	AWY5WM7BEBZD8	"n04020744::pull-off,n04524313::vehicle,n03744840::memory device,n03539433::horseshoe,n03051540::clothing,n04126980::safety match,n03468821::gun case,n02824448::bell,n03102859::cooling system,n04023119::pump well"	::0::0::1::1::1::1::1::1::0::1	::0::1::1::1::1::1::1::1::1::1
3G5W44VEU7I0TCT4Q42MJFPX98KKGX	A347XXV5JH19PB	"n04020744::pull-off,n03468821::gun case,n03051540::clothing,n03102859::cooling system,n03744840::memory device,n04524313::vehicle,n04126980::safety match,n03539433::horseshoe,n04023119::pump well,n02824448::bell"	::0::1::1::1::1::0::0::1::0::1	::0::1::0::1::1::1::1::1::1::1
3DEL4X4EL6L6Z3DBJT3HG943ADCXYK	A2SPF0XH4LNRK1	"n06281175::signal detection,n04285008::sports car,n02755352::attachment,n04324515::stocks,n04389033::tank,n03501152::hazard,n03658858::level,n04561010::water level,n02800675::basement,n02777100::balance"	::0::0::0::1::0::0::1::1::0::1	::0::1::1::0::1::1::1::1::1::1
3WI0P0II61SJ4WW8EYABE68ER8PRDE	A36LOA6VLJU157	"n02777100::balance,n02800675::basement,n04561010::water level,n03501152::hazard,n03658858::level,n06281175::signal detection,n04285008::sports car,n04389033::tank,n02755352::attachment,n04324515::stocks"	::1::0::0::0::1::0::0::0::1::1	::0::1::0::0::1::0::1::1::1::0
3TVRFO09GKFMZ46C0EERM1271YCXLW	A7NNR8ZAMCKLU	"n02777100::balance,n04285008::sports car,n04324515::stocks,n03658858::level,n04561010::water level,n06281175::signal detection,n03501152::hazard,n02755352::attachment,n02800675::basement,n04389033::tank"	::1::0::0::1::0::0::0::1::0::0	::1::1::0::1::1::0::1::1::1::1
34S9DKFK73P1N9Z7HNG8I7D58ZCYNB	AWY5WM7BEBZD8	"n04324515::stocks,n04285008::sports car,n02800675::basement,n06281175::signal detection,n04389033::tank,n02755352::attachment,n03501152::hazard,n03658858::level,n04561010::water level,n02777100::balance"	::0::0::0::0::0::1::0::1::0::1	::1::1::1::0::1::1::0::1::0::1
3KJYX6QCM9BO0PDHXE1WI1SUHY7VJX	A347XXV5JH19PB	"n03658858::level,n04324515::stocks,n04561010::water level,n04389033::tank,n04285008::sports car,n02777100::balance,n03501152::hazard,n02800675::basement,n02755352::attachment,n06281175::signal detection"	::1::0::0::0::0::1::0::0::0::0	::1::1::0::1::1::1::1::1::1::1
3LRKMWOKB5H53DKJRQK74QJ93YO2ZE	A347XXV5JH19PB	"n04392113::tape,n02976939::cashbox,n03479266::hall of fame,n04115802::royal,n04018399::public house,n03092883::console table,n04255586::soda can,n02918831::bumper,n04592741::wing,n02785648::bandage"	::1::1::0::0::0::1::1::0::0::1	::1::1::1::0::1::1::1::1::1::1
36H9ULYP62UZ4SRRXZWS0FP8T4GFJQ	A2OXXHGAM7B0Y	"n04018399::public house,n03479266::hall of fame,n04255586::soda can,n03092883::console table,n04392113::tape,n02918831::bumper,n02785648::bandage,n02976939::cashbox,n04115802::royal,n04592741::wing"	::0::0::1::1::1::0::1::1::0::0	::1::1::1::1::1::1::1::1::1::1
3U5NZHP4LR2F4ZLVN2PC0WNXII2PH1	A357X6NIBOTHH0	"n02976939::cashbox,n04392113::tape,n04115802::royal,n04018399::public house,n03479266::hall of fame,n04592741::wing,n02785648::bandage,n02918831::bumper,n04255586::soda can,n03092883::console table"	::1::1::0::0::0::0::1::1::1::1	::1::1::0::1::0::1::1::1::1::1
3X0H8UUIT1OUEHWCAIF6W42VKQOWSQ	A2SPF0XH4LNRK1	"n04255586::soda can,n04115802::royal,n03092883::console table,n02918831::bumper,n02976939::cashbox,n02785648::bandage,n04392113::tape,n04592741::wing,n04018399::public house,n03479266::hall of fame"	::1::0::1::1::1::1::1::0::0::0	::1::0::1::1::1::1::1::1::1::1
3IRIK4HM3AKGDLSAMEC2J5Z0ALAC6C	A2MQ6VUSKCQ9FH	"n04115802::royal,n04592741::wing,n03092883::console table,n04392113::tape,n03479266::hall of fame,n04255586::soda can,n04018399::public house,n02918831::bumper,n02976939::cashbox,n02785648::bandage"	::0::0::1::1::0::1::0::0::1::1	::0::1::1::1::1::1::1::1::1::1
3KIBXJ1WD5UOLPA2ENFUOOYZ0U2OKF	A1G187YBG0DVMQ	"n03931980::picture rail,n02877266::bottle,n04081699::rest house,n04075715::rendering,n03619396::kit,n02760855::automatic rifle,n02878222::bottom,n03595523::jersey,n04529681::vertical file,n02912065::buffet"	::0::1::0::0::1::0::0::1::1::0	::1::1::1::0::1::1::0::1::1::0
3RXPCZQMQPBYNB7IIUW4E0TY02F1G6	A2BA9Y6VGW6WS1	"n03619396::kit,n02760855::automatic rifle,n02877266::bottle,n03595523::jersey,n02912065::buffet,n04081699::rest house,n03931980::picture rail,n02878222::bottom,n04529681::vertical file,n04075715::rendering"	::1::1::1::1::0::0::0::0::1::0	::1::1::1::1::1::1::1::1::1::0
36V4Q8R5ZK0MWPNLECKES6L340KQMZ	AWY5WM7BEBZD8	"n04529681::vertical file,n02878222::bottom,n03931980::picture rail,n04081699::rest house,n03619396::kit,n02760855::automatic rifle,n02912065::buffet,n02877266::bottle,n04075715::rendering,n03595523::jersey"	::1::0::0::0::1::0::1::1::0::1	::1::0::0::1::1::1::1::1::0::1
3IO1LGZLK9XE1I2X52WXHJ3HKUQ863	A2SPF0XH4LNRK1	"n02760855::automatic rifle,n03619396::kit,n03595523::jersey,n03931980::picture rail,n02912065::buffet,n04081699::rest house,n04075715::rendering,n02877266::bottle,n04529681::vertical file,n02878222::bottom"	::0::1::1::0::0::0::0::1::1::0	::1::1::1::1::1::1::1::1::1::1
3Z4XG4ZF48RRKXMT6P5NHWG1HYP8XX	A2C57JVPIOH7F2	"n04075715::rendering,n02878222::bottom,n03595523::jersey,n02760855::automatic rifle,n03931980::picture rail,n04081699::rest house,n03619396::kit,n02877266::bottle,n04529681::vertical file,n02912065::buffet"	::0::0::1::0::0::0::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3LJ7UR74RHDLP2LNSGS12I9YDYFN4H	A347XXV5JH19PB	"n04525038::velvet,n02871824::boom,n04151581::screen,n03187037::dial,n03816394::needle,n04064213::recording system,n02933112::cabinet,n04037443::racer,n02789487::bar,n03436656::gig"	::0::1::1::1::1::1::1::0::0::0	::0::1::1::1::1::1::1::1::1::1
31QTRG6Q2TD1QUBKX2T0MWI08EGPY1	A2OXXHGAM7B0Y	"n04037443::racer,n04064213::recording system,n03436656::gig,n04525038::velvet,n02789487::bar,n04151581::screen,n02933112::cabinet,n03187037::dial,n02871824::boom,n03816394::needle"	::0::1::0::1::0::1::1::0::1::0	::1::1::1::0::1::1::1::1::1::1
3GLB5JMZFXVSF6NUYNGZF2U7PZPGDI	A2I159VITLD19Y	"n03816394::needle,n02789487::bar,n03187037::dial,n04151581::screen,n04525038::velvet,n02933112::cabinet,n02871824::boom,n03436656::gig,n04064213::recording system,n04037443::racer"	::1::1::1::1::1::1::1::0::1::0	::1::1::1::1::0::1::1::1::1::1
